LastName	Pinyin
耶律	yé lǜ
仪	yí
夷	yí
宜	yí
怡	yí
移	yí
义	yì
弋	yì
易	yì
奕	yì
羿	yì
益	yì
裔	yì
抑	yì
以	yǐ
矣	yǐ
蚁	yǐ
扆	yǐ
乙	yǐ
一	yī
伊	yī
衣	yī
壹	yī
乙弗	yǐ fú
伊娄	yī lóu
银	yín
訚	yín
鄞	yín
印	yìn
尹	yǐn
隐	yǐn
阴	yīn
殷	yīn
音	yīn
殷勤	yīn qín
殷子	yīn zǐ
盈	yíng
营	yíng
嬴	yíng
应	yīng
英	yīng
婴	yīng
用	yòng
永	yǒng
勇	yǒng
鄘	yōng
雍	yōng
尤	yóu
由	yóu
油	yóu
游	yóu
犹	yóu
右	yòu
宥	yòu
友	yǒu
有	yǒu
酉	yǒu
攸	yōu
由吾	yóu wú
有熊	yǒu xióng
由章	yóu zhāng
虞	yú
于	yú
余	yú
臾	yú
鱼	yú
俞	yú
愚	yú
玉	yù
郁	yù
喻	yù
御	yù
遇	yù
毓	yù
豫	yù
鬱	yù
愈	yù
僪	yù
宇	yǔ
羽	yǔ
禹	yǔ
语	yǔ
庾	yǔ
於	yū
尉迟	yù chí
於陵	yū líng
宇文	yǔ wén
贠	yuán
元	yuán
爰	yuán
原	yuán
袁	yuán
源	yuán
辕	yuán
苑	yuàn
渊	yuān
岳	yuè
越	yuè
乐	yuè
月	yuè
乐正	yuè zhèng
云	yún
妘	yún
员	yùn
恽	yùn
运	yùn
允	yǔn
在	zài
载	zài
再	zài
宰	zǎi
宰父	zǎi fǔ
赞	zàn
昝	zǎn
臧	zāng
皂	zào
造	zào
枣	zǎo
早	zǎo
遭	zāo
糟	zāo
迮	zé
泽	zé
曾	zēng
曽	zēng
查	zhā
扎	zhā
翟	zhái
窄	zhǎi
斋	zhāi
绽	zhàn
战	zhàn
湛	zhàn
展	zhǎn
粘	zhān
詹	zhān
占	zhān
鳣	zhān
胀	zhàng
仉	zhǎng
掌	zhǎng
张	zhāng
章	zhāng
漳	zhāng
张包	zhāng bāo
张简	zhāng jiǎn
张廖	zhāng liào
长孙	zhǎng sūn
召	zhào
赵	zhào
兆	zhào
诏	zhào
照	zhào
肇	zhào
钊	zhāo
招	zhāo
兆昆	zhào kūn
柘	zhè
者	zhě
镇	zhèn
枕	zhěn
针	zhēn
真	zhēn
甄	zhēn
正	zhèng
郑	zhèng
政	zhèng
征	zhēng
蒸	zhēng
植	zhí
直	zhí
郅	zhì
挚	zhì
秩	zhì
彘	zhì
智	zhì
陟	zhì
致	zhì
芷	zhǐ
止	zhǐ
之	zhī
支	zhī
枝	zhī
芝	zhī
脂	zhī
只	zhī
终	Zhong
钟	Zhong
仲	zhòng
众	zhòng
种	zhǒng
中	zhōng
衷	zhōng
仲长	zhòng cháng
钟离	zhōng lí
中叔	zhōng shū
仲孙	zhòng sūn
中行	zhōng xíng
纣	zhòu
州	zhōu
舟	zhōu
周	zhōu
竹	zhú
竺	zhú
烛	zhú
住	zhù
祝	zhù
主	zhǔ
褚	zhǔ
朱	zhū
诸	zhū
主父	zhǔ fù
诸葛	zhū gě
褚师	zhǔ shī
朱文	zhū wén
颛	zhuān
颛孙	zhuān yǘ
壮	zhuàng
庄	zhuāng
庄上	zhuāng shàng
卓	zhuó
禚	zhuó
濯	zhuó
字	zì
自	zì
子	zǐ
紫	zǐ
訾	zī
资	zī
子车	zǐ chē
子丰	zǐ fēng
子革	zǐ gé
子国	zǐ guó
子孔	zǐ kǒng
子人	zǐ rén
子驷	zǐ sì
子轩	zǐ xuān
子雅	zǐ yǎ
纵	zòng
宗	zōng
宗圣	zōng shèng
宗正	zōng zhèng
宗政	zōng zhèng
邹	zōu
鄹	zōu
俎	zǔ
祖	zǔ
尊	zūn
笮	zuó
柞	zuò
左	zuǒ
佐	zuǒ
左丘	zuo qiu
滕	téng
刁	diāo
牧	mù
欧阳	ōu yáng
徐离	xú lí
傲	áo
宾	bīn
博	bó
采	cǎi
恩	ēn
凡	fán
格	gé
冠	guān
好	hǎo
昊	hào
浩	hào
荷	hé
恒	héng
鸿	hóng
湖	hú
化	huà
基	jī
继	jì
见	jiàn
杰	jié
静	jìng
菊	jú
俊	jùn
卡	kǎ
科	kē
奎	kuí
立	lì
丽	lì
刘付	liú fù
绿	lǜ
麦	mài
曼	màn
美	měi
梦	mèng
名	míng
默	mò
沐	mù
娜	nà
乃	nǎi
尼	ní
日	rì
如	rú
润	rùn
若	ruò
上	shàng
升	shēng
桃	táo
天	tiān
拓	tuò
旺	wàng
未	wèi
溪	xī
夏候	xià hòu
湘	xiāng
晓	xiǎo
雄	xióng
雅	yǎ
岩	yán
彦	yàn
艳	yàn
依	yī
远	yuǎn
悦	yuè
忠	zhōng
珠	zhū
